" Time ","",""," Magnitude ",""," EventLocationName"
"2020-01-22T21:24:07.4Z","","","4.1","","WESTERN TURKEY"
"2020-01-22T21:26:49.7Z","","","3.7","","WESTERN TURKEY"
"2020-01-22T21:30:11.1Z","","","4.2","","WESTERN TURKEY"
"2020-01-22T21:34:33.1Z","","","3.5","","WESTERN TURKEY"
"2020-01-22T21:39:47.5Z","","","3.6","","WESTERN TURKEY"
"2020-01-22T21:41:42.1Z","","","3.3","","WESTERN TURKEY"
"2020-01-22T21:52:05.6Z","","","4","","WESTERN TURKEY"
"2020-01-22T22:29:19.3Z","","","3.1","","WESTERN TURKEY"
"2020-01-22T22:39:18.5Z","","","4.4","","WESTERN TURKEY"
"2020-01-22T23:04:50.3Z","","","3.4","","WESTERN TURKEY"
"2020-01-22T23:52:55.9Z","","","3.2","","WESTERN TURKEY"
"2020-01-22T23:58:54.4Z","","","3.4","","WESTERN TURKEY"
"2020-01-23T00:20:24.2Z","","","3.3","","WESTERN TURKEY"
"2020-01-23T00:45:23.2Z","","","4.4","","WESTERN TURKEY"
"2020-01-23T01:00:17.3Z","","","3.6","","WESTERN TURKEY"
"2020-01-23T01:02:36.0Z","","","3","","WESTERN TURKEY"
"2020-01-23T01:07:41.4Z","","","3","","WESTERN TURKEY"
"2020-01-23T01:09:52.2Z","","","3.4","","WESTERN TURKEY"
"2020-01-23T02:13:26.7Z","","","3.6","","WESTERN TURKEY"
"2020-01-23T02:24:25.2Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T03:20:04.9Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T04:32:43.3Z","","","3.3","","WESTERN TURKEY"
"2020-01-23T04:42:49.6Z","","","3.2","","WESTERN TURKEY"
"2020-01-23T05:02:15.1Z","","","3","","WESTERN TURKEY"
"2020-01-23T05:16:06.9Z","","","3","","WESTERN TURKEY"
"2020-01-23T05:34:54.9Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T05:36:31.1Z","","","3.9","","WESTERN TURKEY"
"2020-01-23T05:39:51.3Z","","","3.6","","WESTERN TURKEY"
"2020-01-23T06:50:53.2Z","","","3.2","","WESTERN TURKEY"
"2020-01-23T06:59:30.1Z","","","3.2","","WESTERN TURKEY"
"2020-01-23T07:07:57.0Z","","","3","","WESTERN TURKEY"
"2020-01-23T07:20:21.1Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T07:26:08.0Z","","","3.2","","WESTERN TURKEY"
"2020-01-23T07:40:39.6Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T08:26:34.8Z","","","3.5","","WESTERN TURKEY"
"2020-01-23T08:34:45.4Z","","","3.9","","WESTERN TURKEY"
"2020-01-23T09:22:19.7Z","","","3.3","","WESTERN TURKEY"
"2020-01-23T10:06:50.1Z","","","3.2","","WESTERN TURKEY"
"2020-01-23T10:38:01.1Z","","","3.3","","WESTERN TURKEY"
"2020-01-23T10:53:04.4Z","","","3","","WESTERN TURKEY"
"2020-01-23T11:18:53.0Z","","","3","","WESTERN TURKEY"
"2020-01-23T11:43:41.0Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T13:09:17.6Z","","","3.3","","WESTERN TURKEY"
"2020-01-23T16:47:49.9Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T17:07:07.5Z","","","3","","WESTERN TURKEY"
"2020-01-23T18:40:18.3Z","","","3","","WESTERN TURKEY"
"2020-01-23T19:08:08.0Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T20:36:15.4Z","","","3.5","","WESTERN TURKEY"
"2020-01-23T21:09:39.4Z","","","3.2","","WESTERN TURKEY"
"2020-01-23T21:25:52.3Z","","","3.6","","WESTERN TURKEY"
"2020-01-23T21:58:26.3Z","","","3.1","","WESTERN TURKEY"
"2020-01-23T23:38:20.6Z","","","3.2","","WESTERN TURKEY"
"2020-01-24T01:28:21.9Z","","","3.1","","WESTERN TURKEY"
"2020-01-24T02:26:24.5Z","","","3.1","","WESTERN TURKEY"
"2020-01-24T03:04:38.2Z","","","3.9","","WESTERN TURKEY"
"2020-01-24T07:07:04.6Z","","","3.9","","WESTERN TURKEY"
"2020-01-24T08:24:44.1Z","","","3.1","","WESTERN TURKEY"
"2020-01-24T09:58:05.9Z","","","3.4","","WESTERN TURKEY"
"2020-01-24T13:58:24.8Z","","","3.2","","WESTERN TURKEY"
"2020-01-24T16:01:54.7Z","","","3.2","","WESTERN TURKEY"
"2020-01-24T17:40:54.4Z","","","3.1","","WESTERN TURKEY"
"2020-01-24T21:09:39.4Z","","","3","","WESTERN TURKEY"
"2020-01-24T21:16:14.1Z","","","3.9","","WESTERN TURKEY"
"2020-01-24T23:25:56.5Z","","","3","","WESTERN TURKEY"
"2020-01-25T02:21:33.5Z","","","3.4","","WESTERN TURKEY"
"2020-01-25T05:41:33.1Z","","","3.4","","WESTERN TURKEY"
"2020-01-25T07:12:18.5Z","","","3.4","","WESTERN TURKEY"
"2020-01-25T07:14:55.2Z","","","3.6","","WESTERN TURKEY"
"2020-01-25T08:24:43.8Z","","","3.4","","WESTERN TURKEY"
"2020-01-25T11:55:42.7Z","","","3.2","","WESTERN TURKEY"
"2020-01-25T14:22:25.7Z","","","3.2","","WESTERN TURKEY"
"2020-01-25T17:49:47.8Z","","","4.3","","WESTERN TURKEY"
"2020-01-25T19:48:59.6Z","","","3.1","","WESTERN TURKEY"
"2020-01-25T21:56:30.1Z","","","3.4","","WESTERN TURKEY"
"2020-01-25T22:11:41.9Z","","","4","","WESTERN TURKEY"
"2020-01-25T22:23:00.6Z","","","3","","WESTERN TURKEY"
"2020-01-25T22:38:02.3Z","","","3.5","","WESTERN TURKEY"
"2020-01-26T01:33:08.8Z","","","3.1","","WESTERN TURKEY"
"2020-01-26T05:31:23.9Z","","","3.7","","WESTERN TURKEY"
"2020-01-26T08:26:56.9Z","","","3.3","","WESTERN TURKEY"
"2020-01-26T10:31:47.4Z","","","3.7","","WESTERN TURKEY"
"2020-01-26T12:18:25.1Z","","","3","","WESTERN TURKEY"
"2020-01-26T14:15:40.3Z","","","3.1","","WESTERN TURKEY"
"2020-01-27T05:38:08.3Z","","","3.4","","WESTERN TURKEY"
"2020-01-27T09:33:55.1Z","","","3.1","","WESTERN TURKEY"
"2020-01-27T11:18:51.0Z","","","3","","WESTERN TURKEY"
"2020-01-27T12:15:09.2Z","","","3.2","","WESTERN TURKEY"
"2020-01-27T19:24:32.5Z","","","3.1","","WESTERN TURKEY"
"2020-01-27T23:21:10.2Z","","","3.6","","WESTERN TURKEY"
"2020-01-27T23:46:58.6Z","","","3","","WESTERN TURKEY"
"2020-01-28T07:02:54.4Z","","","3.5","","WESTERN TURKEY"
"2020-01-28T08:36:33.6Z","","","3.2","","WESTERN TURKEY"
"2020-01-28T09:47:32.6Z","","","3","","WESTERN TURKEY"
"2020-01-28T09:54:11.0Z","","","3.3","","WESTERN TURKEY"
"2020-01-28T11:26:13.4Z","","","4.9","","WESTERN TURKEY"
